FA0 其他花類
FA1 黃秋葵
FA2 樊花
FA4 瓊花
FA9 百果(進口)
FB 花椰菜
FC 胡瓜
FD 花胡瓜
FE 冬瓜
FF 絲瓜
FG 苦瓜
FH 扁蒲
FI 茄子
FJ 番茄
FK 甜椒
FL 豌豆
FM 菜豆
FN 敏豆
FO 蠶豆
FP 萊豆
FQ 毛豆
FR 青花苔
FS 越瓜
FT 南瓜
FU 準人瓜
FU3 石蓮花
FV 辣椒
FW 金針花
FW2 洛神花
FX1 花豆
FX2 虎豆(福豆)
FY 玉米
FZ 落花生
LA 甘藍
LB 小白菜
LC 包心白
LD 青江白菜
LE 皇宮菜
LF 蕹菜
LG 芹菜
LH 菠菱菜
LI 萵苣菜
LJ 芥菜
LK 芥藍菜
LL 茼蒿
LM 莧菜
LN 油菜
LO 甘薯葉
LP 芫荽
LP2 九層塔
LQ 紅鳳菜
LR 塌棵塔
LS 茴香
LT 海菜
LT3 水蓮
LU 菾菜
LV 巴西利
LX 蕨菜
LY1 西洋菜
LY2 黑甜仔菜
LY3 豬母菜
LY4 人參葉
LY5 珍珠菜
LY6 香椿
LZ 薺菜
MA 洋菇
MB 草菇
MC 木耳
MD 香菇
ME 金絲菇
MF 蠔菇
MG 白菇
MH 松茸
MI 秀珍菇
MJ 杏鮑菇
MK 鴻禧菇
ML 珊瑚菇
MM 猴頭菇
MN 柳松菇
MX 其他菇類
OA 鹹菜
OB 雪里紅
OC 榨菜
OD 蘿蔔乾
OE 醃瓜
OG 熟筍
OH 桶筍
OI1 筍乾
OI2 筍絲
OI3 筍片
OI4 筍茸
OL 朴菜
OX 其他
SA 蘿蔔
SB 胡蘿蔔
SC 馬鈴薯
SD 洋蔥
SE 青蔥
SF 韭菜
SF2 韭菜(韭菜黃)
SF3 韭菜(韭菜花)
SG 大蒜
SH1 竹筍(麻竹筍)
SH2 竹筍(綠竹筍)
SH3 竹筍(桂竹筍)
SH4 竹筍(孟宗筍)
SH5 竹筍(烏殼綠)
SH6 竹筍(箭竹筍)
SH7 竹筍(去殼)
SH9 竹筍(進口)
SI 萵苣莖
SJ 芋
SK 荸薺
SL1 豆薯
SL2 菊芋(雪蓮薯)
SM 牛蒡
SN 蓮藕
SO 甘薯
SP 薑
SQ 茭白筍
SR 菱角
SS 大心菜
ST 蕎頭
SU 薯蕷
SV 蘆筍
SW 球莖甘藍
SX 芽菜類
SY 慈菇
SZ1 半天筍
SZ2 甘蔗筍
SZ3 金針筍
SZ4 百合
SZ5 草石蠶
SZ6 半天花
ZZ 其他
